Timestamp,Nama atau Inisial:,Jenjang Pendidikan Saat Ini:,Apakah kamu pernah mencoba belajar coding/pemrograman sebelumnya?,Hambatan Saat Belajar Coding [Saya bingung harus mulai belajar coding dari mana karena materinya terlalu banyak di internet.],Hambatan Saat Belajar Coding [Penjelasan materi coding di internet sering kali terlalu rumit dan membingungkan.],"Hambatan Saat Belajar Coding [Menghafal rumus tulisan kode (seperti tanda kurung, titik koma, simbol) sangat menyulitkan bagi saya.]",Hambatan Saat Belajar Coding [Mencari bagian kode yang salah saat program komputer eror (debugging) membuat saya malas melanjutkan.],Hambatan Saat Belajar Coding [Pesan eror komputer yang menggunakan istilah bahasa Inggris yang rumit membuat saya stres dan merasa gagal.],Solusi & Fitur Impianmu [Saya lebih suka materi coding yang disusun berurutan lewat peta jalan (roadmap) yang jelas.],Solusi & Fitur Impianmu [Saya ingin langsung melihat hasil dari kode yang saya buat secara langsung di layar saat itu juga.],"Solusi & Fitur Impianmu [Saya ingin pesan eror memberikan petunjuk arah yang ramah, membimbing, dan tetap memotivasi saya.]","Solusi & Fitur Impianmu [Saya lebih semangat belajar jika ada sistem hadiah, level, lencana, dan papan peringkat kompetisi dengan teman.]",Solusi & Fitur Impianmu [Memiliki teman belajar virtual (robot pendamping/maskot) di dalam aplikasi akan mengurangi rasa bosan saya.],"Ceritakan pengalaman paling menyebalkan atau membuat frustrasi yang pernah kamu alami saat belajarmu eror atau saat mencoba memahami coding! (Jika belum pernah belajar, apa ketakutan terbesarmu sebelum mulai belajar coding?)",Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya lebih menyukai aplikasi belajar yang menggunakan warna cerah namun menenangkan (seperti kombinasi warna biru dan teal/hijau kebiruan) agar bisa tetap fokus.],"Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya lebih suka desain aplikasi yang modern, bersih, banyak ruang kosong, dan tidak terlalu padat penuh teks (clean design).]",Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya merasa bentuk tombol atau kotak materi yang membulat (rounded corners) terasa lebih ramah dan tidak kaku dibandingkan bentuk kotak yang bersudut tajam.],Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya menyukai aplikasi yang memiliki pilihan Mode Gelap (Dark Mode) karena saya sering belajar atau membuka HP di malam hari.],Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya merasa penggunaan gambar ikon/simbol yang tebal dan jelas jauh lebih membantu saya memahami fungsi menu daripada teks penjelasan yang panjang.],Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya lebih mudah memahami data perkembangan belajar saya jika ditampilkan dalam bentuk grafik visual (seperti grafik batang atau lingkaran progres) daripada angka-angka saja.],"Ketika belajar menggunakan aplikasi baru di HP atau laptop, hal apa yang paling sering membuatmu bingung atau malas melanjutkan?","Tuliskan aplikasi belajar (apa pun itu, tidak harus aplikasi coding) yang menurutmu memiliki tampilan paling bagus, rapi, dan paling nyaman saat kamu gunakan! Sebutkan juga alasan kenapa kamu menyukai tampilan aplikasi tersebut."
25/05/2026 11:25:00,Rian84,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",3 (Netral),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),3 (Netral),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Sololearn, Simpel, langsung bisa nyoba ketik kode di HP tanpa ribet setup."
25/05/2026 13:28:00,Budi38,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",3 (Netral),5 (Sangat Setuju),2 (Tidak Setuju),4 (Setuju),3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Sering typo nulis sintaks terus nyari salahnya setengah mati.,3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 13:29:00,Siti39,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),Takut gak bakalan paham karena dasarnya bukan anak matematika atau SMK komputer.,4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 13:54:00,Fajar79,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),Waktu nyoba nyontek kode dari Github malah versinya gak cocok dan eror semua.,5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Sololearn, Simpel, langsung bisa nyoba ketik kode di HP tanpa ribet setup."
25/05/2026 12:43:00,Andi23,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),"Gak tahu cara instalasi *environment*-nya, baru mulai udah eror duluan di terminal.",5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Iklan pop-up yang terlalu banyak mendadak muncul di tengah layar.,"Saya suka Canva, Tombol-tombolnya gampang dicari, bentuk rounded-nya estetik dan modern."
25/05/2026 13:35:00,Intan13,SMA / SMK / Sederajat,Belum pernah sama sekali,4 (Setuju),5 (Sangat Setuju),2 (Tidak Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Waktu nyoba nyontek kode dari Github malah versinya gak cocok dan eror semua.,5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),Iklan pop-up yang terlalu banyak mendadak muncul di tengah layar.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 14:17:00,Alya35,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,4 (Setuju),4 (Setuju),2 (Tidak Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),"Bingung nyari eror di baris mana, aplikasinya langsung nge-crash tanpa petunjuk jelas.",3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
25/05/2026 13:04:00,Vina73,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",4 (Setuju),4 (Setuju),2 (Tidak Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),"Gak tahu cara instalasi *environment*-nya, baru mulai udah eror duluan di terminal.",4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Sololearn, Simpel, langsung bisa nyoba ketik kode di HP tanpa ribet setup."
25/05/2026 14:41:00,Amel42,SMA / SMK / Sederajat,Belum pernah sama sekali,4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),Takut gak bakalan paham karena dasarnya bukan anak matematika atau SMK komputer.,3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
25/05/2026 15:50:00,Putri55,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",4 (Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Nanya ke AI tapi jawabannya malah muter-muter dan kodenya dibatasi limit gratisan.,4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 12:45:00,Hafiz15,SMA / SMK / Sederajat,Belum pernah sama sekali,3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),3 (Netral),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
25/05/2026 12:29:00,Nabila76,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",4 (Setuju),3 (Netral),2 (Tidak Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Sering typo nulis sintaks terus nyari salahnya setengah mati.,5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
25/05/2026 12:33:00,Bayu97,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",3 (Netral),3 (Netral),2 (Tidak Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),Gak ada petunjuk awal (onboarding) pas pertama kali buka aplikasi.,"Saya suka Notion, Clean design, banyak ruang kosong, kerasa produktif kalau dipakai."
25/05/2026 16:04:00,Siti51,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),4 (Setuju),2 (Tidak Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),3 (Netral),Sering typo nulis sintaks terus nyari salahnya setengah mati.,3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 14:17:00,Siti27,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),Udah ngikutin tutorial di YouTube step-by-step tapi pas dijalankan di laptop sendiri tetep eror.,5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Sololearn, Simpel, langsung bisa nyoba ketik kode di HP tanpa ribet setup."
25/05/2026 15:40:00,Salsa25,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),Loading-nya lama dan transisi halatmannya kaku banget.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 15:51:00,Fajar17,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),"Bingung nyari eror di baris mana, aplikasinya langsung nge-crash tanpa petunjuk jelas.",3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),"Menu navigasinya sembunyi-sembunyi, jadi bingung harus klik yang mana.","Saya suka Sololearn, Simpel, langsung bisa nyoba ketik kode di HP tanpa ribet setup."
25/05/2026 15:08:00,Nabila21,SMA / SMK / Sederajat,Belum pernah sama sekali,4 (Setuju),3 (Netral),2 (Tidak Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),Sering typo nulis sintaks terus nyari salahnya setengah mati.,5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Ukuran font-nya terlalu kecil dan gak bisa dizoom.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
25/05/2026 13:53:00,Rara94,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",3 (Netral),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Loading-nya lama dan transisi halatmannya kaku banget.,"Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
25/05/2026 14:57:00,Eka91,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Nanya ke AI tapi jawabannya malah muter-muter dan kodenya dibatasi limit gratisan.,5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),"Menu navigasinya sembunyi-sembunyi, jadi bingung harus klik yang mana.","Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
25/05/2026 16:35:00,Dika75,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),"Materi di internet lompat-lompat, baru belajar dasar besoknya udah disuruh bikin projek ribet.",4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Notion, Clean design, banyak ruang kosong, kerasa produktif kalau dipakai."
25/05/2026 16:15:00,Nabila72,SMA / SMK / Sederajat,Belum pernah sama sekali,5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 16:25:00,Zaki84,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),"Materi di internet lompat-lompat, baru belajar dasar besoknya udah disuruh bikin projek ribet.",4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),"Menu navigasinya sembunyi-sembunyi, jadi bingung harus klik yang mana.","Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
